id,class,part1_theory_30,part2_exercise_10
S_r00289,1ITF04,18.53,3.75
S_r00290,1ACS02,,
S_r00291,1ACS01,22.27,2.00
S_r00292,1ACS01,,
S_r00293,1ACS02,15.93,3.50
S_r00294,1ACS02,2.63,0.00
S_r00295,1ITF01,14.23,2.50
S_r00296,1ACS01,,
S_r00297,1ITF02,27.83,9.50
S_r00298,1ITF06,15.24,4.75
S_r00299,1ITF01,,
S_r00300,1ITF05,14.90,2.75
S_r00301,1ITF01,3.30,0.50
S_r00302,1ACS02,,
S_r00303,1ITF02,8.07,3.50
S_r00304,1ACS02,,
S_r00305,1ITF01,21.37,2.75
S_r00306,1ITF04,15.53,3.00
S_r00307,1ITF05,18.87,4.75
S_r00308,1ITF03,9.10,1.75
S_r00309,1ITF02,24.17,5.75
S_r00310,1ACS02,8.93,0.25
S_r00311,1ACS01,15.23,3.25
S_r00312,1ITF03,24.67,4.75
S_r00313,1ITF02,14.40,1.50
S_r00314,1ITF04,19.03,10.00
S_r00315,1ITF03,21.37,0.75
S_r00316,1ITF02,20.67,10.00
S_r00317,1ITF02,19.37,6.00
S_r00318,1ITF03,16.03,0.25
S_r00319,1ITF05,,
S_r00320,1ITF04,17.00,5.50
S_r00321,1ITF03,21.53,6.85
S_r00322,1ITF04,14.23,3.50
S_r00323,1ITF04,24.20,7.10
S_r00324,1ITF06,11.73,3.50
S_r00325,1ITF05,16.57,5.50
S_r00326,1ITF03,7.57,0.00
S_r00327,1ITF05,4.10,0.00
S_r00328,1ITF04,24.20,9.25
S_r00329,1ACS01,23.54,10.00
S_r00330,1ITF02,,
S_r00331,1ITF05,19.03,5.25
S_r00332,1ITF04,17.00,9.50
S_r00333,1ITF04,9.13,0.25
S_r00334,1ITF02,6.93,1.25
S_r00335,1ACS02,28.00,0.50
S_r00336,1ACS01,18.53,0.50
S_r00337,1ACS02,21.57,10.00
S_r00338,1ITF05,17.90,3.50
S_r00339,1ITF03,6.93,1.50
S_r00340,1ITF05,9.80,1.00
S_r00341,1ITF02,18.60,8.50
S_r00342,1ITF04,7.96,1.00
S_r00343,1ACS01,7.93,0.00
S_r00344,1ITF06,19.73,3.75
S_r00345,1ITF06,24.84,10.00
S_r00346,1ITF04,29.17,9.75
S_r00347,1ITF03,11.77,1.75
S_r00348,1ITF02,16.43,5.75
S_r00349,1ITF01,20.06,7.00
S_r00350,1ITF06,23.00,6.25
S_r00351,1ITF06,,
S_r00352,1ITF01,9.56,2.50
S_r00353,1ITF01,15.57,5.50
S_r00354,1ACS02,,
S_r00355,1ACS01,11.10,0.00
S_r00356,1ACS02,18.87,2.75
